Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Arable land (% of land area),AG.LND.ARBL.ZS,Channel Islands,CHI,18.6868696477436,19.6969709375929,21.7171735172917,22.2222235601492,21.7171735172917,21.0606072574426,20.8585872402996,19.6969709375929,19.6969709375929,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Chile,CHL,3.76849938164651,2.35363094856581,1.70940853464408,1.7712754052921,1.72554771829139,1.76051594952722,1.73388623083867,1.76589567740966,1.70779468194986,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,China,CHN,13.1866961361276,12.5870505804082,11.4207059411877,11.3461443467199,11.2822344086047,11.2609310958997,11.2588007646292,12.6754710595163,12.6648210894303,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Colombia,COL,2.97881928796755,2.53988283010365,1.58900405588103,1.42947273546643,1.42226228030644,1.51599819738621,1.55763853192598,1.52194680088863,1.52194680088863,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Comoros,COM,34.927457210208,34.927457210208,34.927457210208,34.927457210208,34.927457210208,34.927457210208,34.927457210208,34.927457210208,34.927457210208,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,"Congo, Dem. Rep.",COD,2.94214948942458,2.95538254559891,2.99949273284665,3.08771310734214,3.13182329458989,3.13182329458989,3.13182329458989,3.13182329458989,3.13182329458989,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,"Congo, Rep.",COG,1.40263543191801,1.43484626647145,1.49341142020498,1.55197657393851,1.55197657393851,1.61054172767204,1.61054172767204,1.61054172767204,1.61054172767204,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Costa Rica,CRI,5.09204857030944,4.11280846063455,4.40658049353701,4.5436741088915,4.5436741088915,4.5436741088915,4.545632708647,4.91578535056796,4.84723854289072,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Cote d'Ivoire,CIV,7.64150943396226,8.80503144654088,9.11949685534591,9.11949685534591,9.11949685534591,9.11949685534591,9.11949685534591,9.11949685534591,9.11949685534591,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Croatia,HRV,..,15.059917724915,16.1615443962484,16.023945893621,16.1972842104014,15.6611869981069,14.5318086527347,15.0839881269825,15.5825589706934,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Cuba,CUB,31.5735567970205,32.6256983240223,31.7925591882751,31.0790452436591,29.4497814662941,30.2859326649755,29.6865987310133,28.9723125473167,28.7387031565444,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Cyprus,CYP,11.428571263433,10.6493508144891,8.93939377425553,9.09090909090909,9.2857146159911,8.62878824209238,8.67748921051686,10.7370128879299,9.15909061184177,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Czech Republic,CZE,..,41.9697165782322,41.053858104609,40.9632314862765,40.8778971902111,32.3879823879824,32.2325822325822,32.2885636575573,32.2973322973323,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Denmark,DNK,60.415192262326,53.7591326891351,57.0586848927646,58.8970068347867,57.5851393188854,57.3374636260121,57.9185520361991,56.0371517027864,56.5610859728507,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Djibouti,DJI,0.0431406384814495,0.0431406384814495,0.0690250225988723,0.0862812769628991,0.0862812769628991,0.0862812769628991,0.0862812769628991,0.0862812769628991,0.0862812769628991,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Dominica,DMA,6.66666666666667,6.66666666666667,8,8,8,8,8,8,8,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Dominican Republic,DOM,18.629683295384,18.588283999172,16.5597184847858,16.5597184847858,16.5597184847858,16.5597184847858,16.5597184847858,16.5597184847858,16.5597184847858,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Ecuador,ECU,5.79396041034533,6.50668384602996,4.77693680308447,4.6533256207597,4.62191989214874,4.80753744564342,4.09768083510642,4.29779362382856,3.92977935255275,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,"Egypt, Arab Rep.",EGY,2.2944397006379,2.81380280275252,2.88613190014566,2.82083479833241,2.84193078507208,2.72034755206503,2.65225771400497,2.87867806331307,2.79950777992993,..,..,..
